iter	RMSE
0	19.88955497
1	19.48703982
2	19.12862717
3	18.7238992
4	18.28712748
5	17.90191616
6	17.5796282
7	17.27712209
8	16.96689124
9	16.70350351
10	16.42039045
11	16.15368418
12	15.93994258
13	15.68958501
14	15.47517404
15	15.2882254
16	15.1064977
17	14.94217088
18	14.78632255
19	14.58877943
20	14.42257591
21	14.28021809
22	14.1079402
23	13.97700468
24	13.84404951
25	13.68042695
26	13.58773898
27	13.48191752
28	13.33267874
29	13.24487069
30	13.12373942
31	13.01034742
32	12.92448029
33	12.83707248
34	12.73526935
35	12.60224386
36	12.50895176
37	12.41875758
38	12.34008914
39	12.26876252
40	12.21644784
41	12.13469054
42	12.06651454
43	11.97046972
44	11.90840177
45	11.83489936
46	11.78347897
47	11.72695995
48	11.64202903
49	11.57582998
50	11.508193
51	11.46215469
52	11.40362575
53	11.3454093
54	11.30205694
55	11.24138538
56	11.19885284
57	11.14725055
58	11.10080108
59	11.07334022
60	11.03871231
61	10.99506948
62	10.95148217
63	10.92628737
64	10.89673368
65	10.87130755
66	10.84103121
67	10.80076631
68	10.77018134
69	10.7239233
70	10.66850859
71	10.63381348
72	10.60790304
73	10.57098481
74	10.5381175
75	10.50220093
76	10.46205055
77	10.44701325
78	10.41631014
79	10.38782599
80	10.35544995
81	10.31614616
82	10.29430813
83	10.26683512
84	10.23976486
85	10.21484176
86	10.18558641
87	10.15286833
88	10.11466927
89	10.08941464
90	10.07066292
91	10.0486334
92	10.02966197
93	10.01250154
94	9.978278002
95	9.952047725
96	9.938748203
97	9.909809258
98	9.88772918
99	9.871211853
100	9.837919828
101	9.819088021
102	9.811863949
103	9.791180788
104	9.765304792
105	9.732144309
106	9.712798638
107	9.694221837
108	9.674683373
109	9.655770112
110	9.630666831
111	9.614875259
112	9.589598347
113	9.569531167
114	9.551175259
115	9.527654574
116	9.510856396
117	9.490058871
118	9.482339607
119	9.465387502
120	9.454913582
121	9.432532471
122	9.421846054
123	9.408317431
124	9.390435542
125	9.373532731
126	9.354259781
127	9.33035119
128	9.308501813
129	9.289178981
130	9.275311085
131	9.264576285
132	9.24843538
133	9.230341546
134	9.205631143
135	9.180190695
136	9.165707053
137	9.154851155
138	9.143614206
139	9.124187576
